Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
03-01-2022,Indiranagar,CMH Road,38925,33.52942618,1.5,100,100,1,127.85,53.27526443,64.04490704,54.20534031,106,Overcast,No
03-01-2022,Whitefield,Marathahalli Bridge,9154,40.22618269,1.378899431,40.23335461,48.30378185,0,68.308,15.84505017,91.08587664,77.92021249,197,Clear,No
03-01-2022,Whitefield,ITPL Main Road,24968,36.72769056,1.298417952,84.89404197,100,1,99.936,70.80193897,68.94383354,98.16112697,82,Windy,No
03-01-2022,Koramangala,Sony World Junction,51459,27.32652437,1.5,100,100,0,152.918,29.66742327,98.01645936,94.51318919,99,Clear,No
03-01-2022,Koramangala,Sarjapur Road,28481,36.50393786,1.5,100,100,2,106.962,66.96565138,87.3892469,58.13084697,116,Overcast,No
03-01-2022,Jayanagar,Jayanagar 4th Block,10179,40.30824348,1.394910452,26.93833782,51.83630715,0,70.358,77.89400785,93.68475693,91.91643524,199,Clear,Yes
04-01-2022,Indiranagar,100 Feet Road,46199,41.22849932,1.5,100,100,2,142.398,57.01904791,84.72512962,67.9081359,86,Clear,No
04-01-2022,Indiranagar,CMH Road,56242,52.55340842,1.5,100,100,0,162.484,12.01478734,90.20549023,81.01547757,106,Clear,Yes
04-01-2022,Whitefield,Marathahalli Bridge,20450,24.60767822,1.361663478,65.13177601,100,1,90.9,53.54606902,94.49454835,97.47603118,100,Clear,No
04-01-2022,Whitefield,ITPL Main Road,13391,51.69672549,1.030345331,37.2142611,63.23545839,0,76.782,19.71790209,85.63498979,59.09400422,194,Clear,No
04-01-2022,Koramangala,Sony World Junction,28369,29.40974507,1.5,86.33738401,100,1,106.738,35.49889027,80.13669083,84.51974143,104,Overcast,No
04-01-2022,Koramangala,Sarjapur Road,31228,42.5750771,1.5,97.78375372,100,2,112.456,35.82395477,78.50138865,87.37354691,73,Fog,No
04-01-2022,M.G. Road,Trinity Circle,34180,37.03463636,1.5,100,100,0,118.36,32.54554159,68.45792028,66.37486761,103,Fog,No
04-01-2022,M.G. Road,Anil Kumble Circle,43569,40.38910044,1.5,100,100,1,137.138,55.21420689,82.83113219,67.80483629,92,Clear,No
04-01-2022,Jayanagar,Jayanagar 4th Block,16342,39.54830801,1.35870617,46.07800825,81.9551139,0,82.684,78.76650318,64.48155609,69.89277995,110,Clear,No
04-01-2022,Yeshwanthpur,Yeshwanthpur Circle,19306,34.97953276,1.170174575,64.50554091,93.95409732,0,88.612,52.74340297,71.54522213,79.06191107,88,Clear,Yes
04-01-2022,Yeshwanthpur,Tumkur Road,16012,39.2310813,1.101856262,57.00338778,82.6622786,0,82.024,43.0103332,76.47363657,67.44341333,118,Windy,No
05-01-2022,Indiranagar,100 Feet Road,49952,50.80134095,1.5,100,100,2,149.904,21.49860586,92.58298881,83.25986103,101,Overcast,No
05-01-2022,Indiranagar,CMH Road,33970,20,1.5,100,100,1,117.94,72.97022013,75.35564885,77.17764306,116,Clear,No
05-01-2022,Whitefield,ITPL Main Road,17018,57.47327055,1.213384437,64.60451833,87.97597211,0,84.036,31.82054475,69.93956559,87.19731463,108,Clear,No
05-01-2022,Koramangala,Sony World Junction,58920,25.21236284,1.5,100,100,2,167.84,54.8803343,87.75793778,77.13622217,92,Clear,No
05-01-2022,Koramangala,Sarjapur Road,46963,34.44415329,1.5,100,100,2,143.926,71.04867363,97.2847313,78.25665918,106,Clear,No
05-01-2022,Jayanagar,Jayanagar 4th Block,18111,55.94191518,1.236510174,58.35005408,86.10261639,0,86.222,66.1997414,60.18528092,66.67495858,97,Overcast,No
05-01-2022,Jayanagar,South End Circle,22491,42.39264835,1.180975806,67.78714041,100,0,94.982,39.32478147,96.59383604,68.11969496,102,Clear,No
05-01-2022,Hebbal,Hebbal Flyover,38924,23.93474091,1.5,100,100,2,127.848,62.49723293,68.39622372,94.90271447,90,Clear,No
05-01-2022,Yeshwanthpur,Yeshwanthpur Circle,25165,20,1.5,82.69858827,100,1,100.33,22.73496913,94.47142484,97.30577311,96,Rain,No
05-01-2022,Yeshwanthpur,Tumkur Road,15871,57.71555095,1.010838397,47.34277657,76.66574797,1,81.742,17.28760074,91.99664341,58.9272331,104,Clear,No
06-01-2022,Indiranagar,100 Feet Road,46556,46.59329803,1.5,100,100,2,143.112,15.98559716,68.31545021,51.32661019,89,Clear,No
06-01-2022,Indiranagar,CMH Road,22591,30.91538704,1.236117977,70.66460615,100,2,95.182,30.61260317,97.93813228,88.18028971,100,Fog,No
06-01-2022,Whitefield,Marathahalli Bridge,20310,51.72257284,1.103155074,60.48712148,100,1,90.62,22.01755001,70.89229306,50.91953383,117,Clear,No
06-01-2022,Koramangala,Sony World Junction,61024,44.82690984,1.5,100,100,2,172.048,36.81969698,80.75670821,52.34829834,89,Clear,No
06-01-2022,Koramangala,Sarjapur Road,28153,21.48315394,1.5,98.22425144,100,4,106.306,25.0458265,61.2473254,63.11320221,103,Clear,No
06-01-2022,M.G. Road,Trinity Circle,12965,62.70800636,1.275360959,41.91321344,62.28902033,2,75.93,29.05015961,83.60922667,68.04869485,198,Clear,No
06-01-2022,M.G. Road,Anil Kumble Circle,57145,45.62209851,1.5,100,100,1,164.29,79.13676056,97.76237359,51.97134057,89,Overcast,Yes
06-01-2022,Jayanagar,South End Circle,40516,34.19584226,1.5,100,100,1,131.032,51.73889149,69.20035349,56.02834429,82,Clear,No
06-01-2022,Hebbal,Hebbal Flyover,22893,46.96554777,1.127501001,78.82782753,100,2,95.786,70.90692117,60.85077643,93.73508363,101,Fog,No
06-01-2022,Hebbal,Ballari Road,28470,20,1.5,97.45010926,100,3,106.94,61.63076111,69.55108583,55.52370566,96,Clear,No
06-01-2022,Yeshwanthpur,Yeshwanthpur Circle,6965,47.34214733,1.153730659,26.80961232,32.00753888,2,63.93,39.2306543,95.1647323,97.23660111,199,Clear,No
06-01-2022,Yeshwanthpur,Tumkur Road,32668,51.21108558,1.5,100,100,1,115.336,23.05067835,91.18337894,67.50626296,97,Rain,No
07-01-2022,Indiranagar,100 Feet Road,24405,29.84255885,1.237175974,82.95172416,100,2,98.81,72.21236559,98.22605993,93.10638086,110,Clear,Yes
07-01-2022,Indiranagar,CMH Road,25768,25.49316209,1.5,85.81084803,100,2,101.536,69.58448398,79.80586108,74.02932887,103,Clear,No
07-01-2022,Whitefield,ITPL Main Road,34362,46.08703581,1.5,100,100,5,118.724,21.10235737,95.23483037,93.59217639,87,Fog,No
07-01-2022,Electronic City,Silk Board Junction,12382,45.46436548,1.252725411,36.46940495,63.25005703,0,74.764,64.58917766,64.27922555,88.05139513,202,Clear,No
07-01-2022,M.G. Road,Anil Kumble Circle,50214,36.94089993,1.5,100,100,0,150.428,50.75193221,73.83532228,81.04577589,108,Fog,Yes
07-01-2022,Jayanagar,Jayanagar 4th Block,21131,44.34249739,1.273318151,69.35472079,100,1,92.262,41.5970917,66.54495285,89.74047744,106,Clear,No
07-01-2022,Hebbal,Hebbal Flyover,39110,23.53041371,1.5,100,100,2,128.22,78.87843536,76.37336025,94.70496018,91,Clear,No
07-01-2022,Hebbal,Ballari Road,42022,34.71075116,1.5,100,100,5,134.044,12.27683256,96.83391391,80.83251573,109,Clear,No
08-01-2022,Indiranagar,100 Feet Road,36384,28.18948343,1.5,100,100,2,122.768,15.07128215,75.69974226,73.99694174,103,Rain,No
08-01-2022,Indiranagar,CMH Road,11033,44.52288644,1.096818006,46.50991853,51.58995543,0,72.066,53.2709014,88.09859882,77.98243417,201,Clear,Yes
08-01-2022,Whitefield,Marathahalli Bridge,16390,34.37367223,1.275785988,60.64506732,78.95150244,0,82.78,17.31974882,85.45720998,85.32378632,78,Fog,No
08-01-2022,Koramangala,Sarjapur Road,65269,36.97599605,1.5,100,100,2,180.538,14.22464588,69.88412936,57.97723401,113,Windy,No
08-01-2022,Electronic City,Hosur Road,17926,66.42270359,1.22214542,64.1373689,86.91454741,3,85.852,57.61597697,62.88793636,51.53262511,92,Overcast,No
08-01-2022,M.G. Road,Trinity Circle,22876,65.01737103,1.290103064,75.98671216,100,2,95.752,51.464523,96.49453382,60.53310945,104,Fog,No
08-01-2022,M.G. Road,Anil Kumble Circle,49798,28.28376632,1.5,100,100,2,149.596,70.95249309,77.8122102,75.7408677,96,Clear,No
08-01-2022,Jayanagar,South End Circle,30323,27.91921134,1.5,93.69413988,100,1,110.646,15.14477231,66.7903162,75.98869743,95,Clear,No
08-01-2022,Yeshwanthpur,Yeshwanthpur Circle,13356,65.76747984,1.33766818,50.63340306,67.63354364,1,76.712,17.83437336,70.78998446,52.8543428,201,Clear,No
09-01-2022,Indiranagar,CMH Road,38748,38.46488476,1.5,100,100,2,127.496,12.09815129,72.31719766,85.23403814,90,Windy,Yes
09-01-2022,Whitefield,ITPL Main Road,34188,25.82840195,1.5,100,100,4,118.376,12.12709418,97.23794782,84.47633755,105,Rain,No
09-01-2022,Koramangala,Sony World Junction,32010,32.47619957,1.5,100,100,3,114.02,56.73153699,92.31383768,88.11425674,109,Overcast,No
09-01-2022,Koramangala,Sarjapur Road,13903,30.59949117,1.158469077,50.25267747,68.40058101,0,77.806,26.62808916,74.93007167,61.36348136,174,Rain,No
09-01-2022,M.G. Road,Anil Kumble Circle,34831,20,1.5,100,100,5,119.662,23.704459,60.302515,82.37373571,115,Overcast,Yes
09-01-2022,Jayanagar,South End Circle,14614,44.01660373,1.113949161,44.85913263,76.10025898,0,79.228,31.79153894,84.41335133,85.80753371,190,Clear,No
09-01-2022,Hebbal,Ballari Road,28195,38.19781934,1.5,95.32957773,100,4,106.39,54.32059629,98.05613369,80.08059101,110,Clear,No
10-01-2022,Indiranagar,100 Feet Road,43024,28.07094802,1.5,100,100,3,136.048,53.67015273,78.07070715,79.33042316,89,Overcast,No
10-01-2022,Indiranagar,CMH Road,13224,61.23396562,1.218678965,38.71894192,65.02905996,0,76.448,44.77368012,99.51142081,56.82198763,208,Clear,No
10-01-2022,Koramangala,Sony World Junction,31137,51.28396623,1.5,99.27321333,100,0,112.274,72.59336123,67.67469299,66.16857811,91,Clear,No
10-01-2022,Koramangala,Sarjapur Road,60935,20,1.5,100,100,2,171.87,56.86408686,99.76557445,83.09195949,102,Clear,Yes
10-01-2022,M.G. Road,Trinity Circle,39508,20.86285503,1.5,100,100,4,129.016,26.42494573,75.97263663,57.62080067,101,Clear,No
10-01-2022,M.G. Road,Anil Kumble Circle,39400,33.47530164,1.5,100,100,0,128.8,31.21898492,70.5245028,68.00682037,84,Clear,No
10-01-2022,Jayanagar,Jayanagar 4th Block,28165,59.92999517,1.5,100,100,4,106.33,67.22147959,75.22493174,93.89871602,113,Fog,No
10-01-2022,Jayanagar,South End Circle,28609,26.01532018,1.5,92.28532786,100,2,107.218,70.34101376,96.91028762,74.35309594,103,Clear,No
10-01-2022,Hebbal,Hebbal Flyover,18780,43.13028697,1.010324763,55.30332578,98.53115112,0,87.56,77.60755128,77.29991513,65.59080665,100,Clear,No
10-01-2022,Hebbal,Ballari Road,27100,39.17190464,1.5,81.56032588,100,1,104.2,79.6406422,62.31122244,84.75176144,88,Clear,No
10-01-2022,Yeshwanthpur,Tumkur Road,16397,54.12435249,1.249558335,55.19749594,81.24583384,0,82.794,72.06229507,77.99138595,59.73112559,96,Overcast,No
11-01-2022,Indiranagar,100 Feet Road,11423,20,1.007676911,33.27293084,59.71789823,0,72.846,47.4717092,68.60807488,50.60603873,199,Clear,No
11-01-2022,Indiranagar,CMH Road,10806,44.59911487,1.129870371,40.76714155,53.79018129,0,71.612,37.6133395,78.37787074,89.25082719,213,Rain,No
11-01-2022,Whitefield,Marathahalli Bridge,40629,28.94285077,1.5,100,100,2,131.258,46.28856154,66.00676003,86.87168844,100,Clear,Yes
11-01-2022,Koramangala,Sony World Junction,14197,57.98811325,1.118614233,44.31739793,73.73153531,1,78.394,22.18765347,63.93582599,83.01513599,212,Clear,Yes
11-01-2022,Electronic City,Hosur Road,13734,60.01333652,1.082274905,38.20772836,69.82012968,1,77.468,47.12114933,61.67804894,98.42443888,213,Windy,No
11-01-2022,M.G. Road,Trinity Circle,48585,38.592094,1.5,100,100,1,147.17,40.24538181,77.57619959,80.64697912,121,Clear,No
11-01-2022,Jayanagar,South End Circle,35331,37.8257995,1.5,100,100,4,120.662,48.15188432,99.38678958,96.86940332,75,Clear,No
11-01-2022,Hebbal,Ballari Road,31483,42.23613619,1.5,100,100,2,112.966,58.22197114,94.93291663,81.8145677,108,Clear,Yes
11-01-2022,Yeshwanthpur,Yeshwanthpur Circle,24863,40.77188039,1.081614254,83.97836565,100,1,99.726,34.87691981,91.35167138,77.71132571,96,Clear,No
12-01-2022,Indiranagar,CMH Road,37767,38.38720503,1.5,100,100,2,125.534,53.37125362,74.21972042,89.70986656,84,Clear,No
12-01-2022,Whitefield,Marathahalli Bridge,29583,53.86614646,1.5,100,100,3,109.166,15.39407954,62.34203717,66.71191593,109,Fog,No
12-01-2022,Whitefield,ITPL Main Road,14566,26.33463383,1.035440172,42.96557239,73.81225294,3,79.132,39.48736373,85.44709459,89.2825809,180,Overcast,No
12-01-2022,Koramangala,Sony World Junction,43533,23.80382567,1.5,100,100,0,137.066,68.21879306,70.9228324,75.90393831,94,Clear,No
12-01-2022,Electronic City,Silk Board Junction,19320,20,1.053391989,56.01203028,98.87939307,0,88.64,40.57954918,89.18032915,88.27564495,88,Clear,No
12-01-2022,M.G. Road,Trinity Circle,48094,26.07544161,1.5,100,100,1,146.188,63.15787837,77.9895937,88.83552785,81,Clear,Yes
12-01-2022,Jayanagar,Jayanagar 4th Block,21711,34.73359265,1.359933338,62.80646794,100,1,93.422,75.57757234,62.09031517,70.93966595,93,Windy,No
12-01-2022,Hebbal,Hebbal Flyover,31399,34.64358518,1.5,100,100,0,112.798,20.58727801,69.0126772,62.54833307,112,Clear,No
12-01-2022,Yeshwanthpur,Tumkur Road,18517,45.86143883,1.183320257,61.41725908,89.2427454,2,87.034,42.36068927,76.47062166,82.54867336,101,Clear,No
13-01-2022,Indiranagar,100 Feet Road,11371,51.02477209,1.103448334,31.1974604,55.15715065,1,72.742,24.34168919,95.11320313,93.97909275,218,Clear,No
13-01-2022,Indiranagar,CMH Road,11938,37.64141551,1.363688082,40.56736929,59.66812508,0,73.876,55.97460733,92.88412642,69.02100038,187,Clear,No
13-01-2022,Koramangala,Sarjapur Road,55123,36.17721217,1.5,100,100,3,160.246,78.84650309,65.62846112,60.10078342,90,Rain,No
13-01-2022,M.G. Road,Trinity Circle,52096,49.12220555,1.5,100,100,3,154.192,71.73494308,77.09958752,58.11167029,101,Overcast,Yes
13-01-2022,M.G. Road,Anil Kumble Circle,26541,38.0419292,1.5,89.2858751,100,2,103.082,42.1485638,74.31193061,74.71062236,111,Clear,No
13-01-2022,Jayanagar,South End Circle,17216,35.77589816,1.180140392,62.36319341,87.59147585,1,84.432,68.90132872,78.8514867,98.9552469,104,Rain,No
13-01-2022,Hebbal,Ballari Road,19195,50.24264678,1.33481645,59.5688551,97.4038191,1,88.39,31.37174737,68.50577505,51.65946773,94,Overcast,No
14-01-2022,Indiranagar,100 Feet Road,24545,51.50381789,1.224176252,74.03645605,100,3,99.09,78.376023,64.42882373,71.12742142,117,Overcast,No
14-01-2022,Koramangala,Sony World Junction,56258,45.85982116,1.5,100,100,1,162.516,59.25801842,81.62793907,54.82672351,92,Clear,No
14-01-2022,Koramangala,Sarjapur Road,32100,26.36048779,1.5,97.96285672,100,4,114.2,15.52784135,69.5804068,89.72891394,101,Overcast,No
14-01-2022,Electronic City,Hosur Road,6265,51.41930535,1.33171472,28.46291134,32.04272352,0,62.53,40.12991872,72.67786351,71.72979804,212,Overcast,No
14-01-2022,M.G. Road,Trinity Circle,35956,42.82870244,1.5,100,100,2,121.912,76.53717368,84.02604266,87.17969581,100,Clear,No
14-01-2022,M.G. Road,Anil Kumble Circle,38339,20,1.5,100,100,1,126.678,46.16008399,60.22023197,50.38320163,91,Clear,No
14-01-2022,Jayanagar,South End Circle,28132,33.19510211,1.5,91.71363416,100,1,106.264,34.16562,80.29647755,93.71112623,100,Windy,No
14-01-2022,Hebbal,Hebbal Flyover,16393,29.15864057,1.363044401,58.92398622,83.04405214,0,82.786,67.6653269,98.20242046,91.05991413,78,Clear,No
14-01-2022,Yeshwanthpur,Yeshwanthpur Circle,9696,37.80846681,1.04841,30.6989558,50.99178048,0,69.392,15.61260099,74.19085167,97.08628558,207,Clear,No
14-01-2022,Yeshwanthpur,Tumkur Road,21620,52.589386,1.349479437,76.54612778,100,1,93.24,47.37772308,65.68548495,50.58533054,98,Clear,No
15-01-2022,Indiranagar,100 Feet Road,20081,52.32649361,1.291669395,69.98249964,100,1,90.162,57.10766357,71.01524697,65.31567494,109,Fog,No
15-01-2022,Indiranagar,CMH Road,40722,28.06813173,1.5,100,100,3,131.444,21.68021412,77.22117354,57.1297072,114,Clear,Yes
15-01-2022,Koramangala,Sony World Junction,13316,36.94129934,1.270848256,46.50225166,65.22593728,0,76.632,79.16251763,78.16006485,84.41371179,182,Clear,No
15-01-2022,Electronic City,Silk Board Junction,4901,41.38188661,1.009340839,21.46093895,24.09023009,0,59.802,73.00582281,64.64555841,97.79594145,192,Rain,No
15-01-2022,M.G. Road,Anil Kumble Circle,45841,20.1372297,1.5,100,100,1,141.682,47.91933687,90.4760725,91.6824981,98,Clear,No
15-01-2022,Jayanagar,Jayanagar 4th Block,14041,52.47910256,1.23218704,39.58726736,69.64543749,1,78.082,38.12451605,99.75393556,94.01573811,205,Rain,No
15-01-2022,Jayanagar,South End Circle,11644,29.97029672,1.091099894,48.09391028,62.31454611,1,73.288,70.89784118,65.22609375,89.52548971,181,Clear,No
15-01-2022,Hebbal,Ballari Road,29959,38.90522898,1.5,100,100,1,109.918,24.22561638,90.47192766,69.32702534,100,Clear,No
16-01-2022,Indiranagar,100 Feet Road,37666,35.89580681,1.5,100,100,4,125.332,71.84253341,77.93276221,75.52162445,104,Clear,No
16-01-2022,Indiranagar,CMH Road,33681,39.07052287,1.5,100,100,2,117.362,77.02136133,60.3545314,99.89104278,105,Clear,Yes
16-01-2022,Koramangala,Sarjapur Road,47091,46.82453827,1.5,100,100,1,144.182,44.13394668,63.10597339,70.37715155,97,Clear,No
16-01-2022,M.G. Road,Trinity Circle,44425,37.13293707,1.5,100,100,2,138.85,15.10312848,76.11493131,64.7645247,92,Overcast,No
16-01-2022,M.G. Road,Anil Kumble Circle,50941,20,1.5,100,100,4,151.882,72.20613562,80.12335803,72.4674871,102,Clear,No
16-01-2022,Jayanagar,Jayanagar 4th Block,28429,40.05470159,1.5,95.81335268,100,1,106.858,28.99865663,79.86781691,64.21370465,87,Clear,No
16-01-2022,Jayanagar,South End Circle,8373,45.15378981,1.110467823,32.04952975,37.49189622,1,66.746,27.27767084,89.63616225,65.81350749,179,Clear,No
16-01-2022,Hebbal,Hebbal Flyover,29521,44.44971665,1.5,100,100,1,109.042,58.09134866,79.75256162,69.38244027,104,Clear,No
17-01-2022,Indiranagar,100 Feet Road,43778,45.58484544,1.5,100,100,1,137.556,35.20353261,98.27199262,75.02005729,98,Clear,No
17-01-2022,Indiranagar,CMH Road,11546,59.52467534,1.328871955,45.49362669,54.84994055,1,73.092,71.61097165,68.62962717,83.89066002,204,Clear,No
17-01-2022,Whitefield,ITPL Main Road,28643,27.38592457,1.5,89.46097216,100,1,107.286,14.06643665,64.46048849,75.79309514,93,Clear,No
17-01-2022,Koramangala,Sony World Junction,14771,35.05650625,1.197145834,47.32246161,74.16437678,0,79.542,10.69466748,78.56380638,98.17496204,201,Clear,No
17-01-2022,M.G. Road,Trinity Circle,13672,50.91814134,1.048082892,40.88498999,63.53552363,0,77.344,64.11993117,80.71842111,67.40477966,195,Clear,No
17-01-2022,Jayanagar,South End Circle,38680,41.76966387,1.5,100,100,1,127.36,25.97647544,69.8641454,74.20385349,108,Clear,No
18-01-2022,Indiranagar,CMH Road,22675,39.02191614,1.05632118,78.03160616,100,1,95.35,66.7786639,85.43818829,69.40828531,105,Clear,No
18-01-2022,Whitefield,Marathahalli Bridge,24990,51.19926332,1.02488129,76.24606089,100,2,99.98,77.05538847,81.18638896,62.09466471,100,Clear,No
18-01-2022,Koramangala,Sony World Junction,43308,34.16966397,1.5,100,100,1,136.616,69.05547648,99.24770117,89.6571437,112,Windy,No
18-01-2022,M.G. Road,Anil Kumble Circle,30048,21.36825995,1.5,91.62163124,100,3,110.096,76.0591115,98.40542418,76.07298194,89,Fog,No
18-01-2022,Hebbal,Hebbal Flyover,29980,50.62255132,1.5,90.17539567,100,2,109.96,54.40545822,68.88303483,66.08349948,112,Clear,No
18-01-2022,Hebbal,Ballari Road,27611,38.38993685,1.5,87.81436544,100,2,105.222,63.27055464,74.86896266,69.62290931,123,Clear,No
18-01-2022,Yeshwanthpur,Yeshwanthpur Circle,25136,22.55168762,1.5,78.59464492,100,1,100.272,45.41705354,68.83411132,51.94649817,72,Overcast,No
19-01-2022,Indiranagar,100 Feet Road,37647,61.34222044,1.5,100,100,4,125.294,64.62558521,79.05342933,74.87699261,90,Clear,No
19-01-2022,Indiranagar,CMH Road,24022,52.09641291,1.163764829,86.29090495,100,3,98.044,20.61165524,95.03532334,76.95472764,93,Clear,No
19-01-2022,Whitefield,ITPL Main Road,21972,45.34152417,1.389231265,67.76250662,100,0,93.944,26.12916635,60.05895288,86.4672397,129,Rain,No
19-01-2022,Koramangala,Sarjapur Road,32388,25.18834469,1.5,100,100,5,114.776,51.34464838,86.44057017,53.92279082,101,Clear,No
19-01-2022,M.G. Road,Trinity Circle,22823,52.92934853,1.285769666,81.25677232,100,2,95.646,75.30474038,93.10025279,84.8604691,106,Overcast,No
19-01-2022,M.G. Road,Anil Kumble Circle,55355,28.82746813,1.5,100,100,5,160.71,76.2963467,79.85035012,69.02588549,89,Fog,No
19-01-2022,Jayanagar,Jayanagar 4th Block,35758,39.5479517,1.5,100,100,3,121.516,45.33569188,88.73815789,93.13202356,89,Clear,No
19-01-2022,Jayanagar,South End Circle,34084,26.37224236,1.5,100,100,2,118.168,53.74118697,82.86983933,91.64151884,116,Rain,Yes
19-01-2022,Hebbal,Ballari Road,22499,29.84904657,1.133619986,79.65064768,100,0,94.998,64.86318897,71.43033298,71.63834398,105,Clear,No
20-01-2022,Indiranagar,100 Feet Road,34920,21.73952314,1.5,100,100,1,119.84,40.24132493,99.21474964,53.37512733,100,Windy,No
20-01-2022,Indiranagar,CMH Road,34071,52.0152107,1.5,100,100,1,118.142,43.81277883,70.74135024,64.37308324,103,Clear,No
20-01-2022,Whitefield,Marathahalli Bridge,9673,58.40461052,1.259401928,27.59137389,43.51610684,1,69.346,57.32184016,88.2651948,80.50037085,192,Clear,No
20-01-2022,Koramangala,Sony World Junction,29570,37.76793449,1.5,100,100,2,109.14,50.80482398,70.12406157,72.51271231,125,Overcast,No
20-01-2022,Koramangala,Sarjapur Road,56542,33.59072086,1.5,100,100,1,163.084,40.40823233,88.93791271,50.45270808,103,Rain,No
20-01-2022,Electronic City,Silk Board Junction,12718,50.67941743,1.005498222,37.36085854,60.73406483,0,75.436,27.32918392,62.50105183,72.94702583,210,Rain,Yes
20-01-2022,Yeshwanthpur,Yeshwanthpur Circle,23607,53.87290837,1.20857961,70.05917439,100,3,97.214,35.79142439,95.81384357,83.32315238,109,Rain,No
21-01-2022,Indiranagar,100 Feet Road,37614,36.84247914,1.5,100,100,1,125.228,11.53393301,72.04184311,75.13156213,79,Overcast,No
21-01-2022,Indiranagar,CMH Road,32230,43.13205187,1.5,100,100,0,114.46,22.99526934,86.5687754,94.08453059,110,Clear,No
21-01-2022,Whitefield,Marathahalli Bridge,21898,57.44679581,1.14275439,70.06911651,100,4,93.796,34.80974642,80.22536614,97.05604063,113,Clear,No
